NAMESPACE            LAST SEEN   TYPE      REASON              OBJECT                                          MESSAGE
jenkins-bot          27m         Normal    Killing             pod/team-nova-cbreport-23-5kj91-cpjth-15n5n     Stopping container kaniko
team-nova            27m         Normal    Pulling             pod/bibdcbreport-5c9bc86cc6-9z9db               Pulling image "harbor-core.olivedigital.tech/nova/bibdcbreport:beta-ac374a7"
team-nova            27m         Normal    Started             pod/bibdcbreport-5c9bc86cc6-9z9db               Started container mount-skywalking-agent
team-nova            27m         Normal    Pulled              pod/bibdcbreport-5c9bc86cc6-9z9db               Successfully pulled image "harbor-core.olivedigital.tech/nova/bibdcbreport:beta-ac374a7" in 1.918689195s
team-nova            27m         Normal    Started             pod/bibdcbreport-5c9bc86cc6-9z9db               Started container bibdcbreport
team-nova            27m         Normal    Created             pod/bibdcbreport-5c9bc86cc6-9z9db               Created container bibdcbreport
team-nova            27m         Normal    ScalingReplicaSet   deployment/bibdcbreport                         Scaled down replica set bibdcbreport-7d97dcb976 to 0
team-nova            27m         Normal    SuccessfulDelete    replicaset/bibdcbreport-7d97dcb976              Deleted pod: bibdcbreport-7d97dcb976-fwfz5
team-nova            27m         Normal    Killing             pod/bibdcbreport-7d97dcb976-fwfz5               Stopping container bibdcbreport
jenkins-bot          13m         Normal    Scheduled           pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Successfully assigned jenkins-bot/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w to devk8sworker02
jenkins-bot          13m         Normal    Created             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Created container kubectl
jenkins-bot          13m         Normal    Pulled              pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Container image "bitnami/kubectl:1.24" already present on machine
jenkins-bot          13m         Normal    Created             pod/team-nova-atw-coreis-41-126wk-3fr8w-jxh7w   Created container sonar-scanner-cli
